Date,POS Claims Amt (USD)
2018-10-01 00:00:00,907757
2018-10-02 00:00:00,947861
2018-10-03 00:00:00,1213786
2018-10-04 00:00:00,1098173
2018-10-05 00:00:00,908762
2018-10-06 00:00:00,1302
2018-10-08 00:00:00,790838
2018-10-09 00:00:00,1379695
2018-10-10 00:00:00,1084404
2018-10-11 00:00:00,1485934
2018-10-12 00:00:00,988409
2018-10-13 00:00:00,7128
2018-10-15 00:00:00,728888
2018-10-16 00:00:00,1485373
2018-10-17 00:00:00,1135888
2018-10-18 00:00:00,1065115
2018-10-19 00:00:00,1163198
2018-10-20 00:00:00,72475
2018-10-22 00:00:00,1208813
2018-10-23 00:00:00,1177428
2018-10-24 00:00:00,1255425
2018-10-25 00:00:00,1319568
2018-10-26 00:00:00,3109876
2018-10-27 00:00:00,6094
2018-10-28 00:00:00,2038
2018-10-29 00:00:00,2837118
2018-10-30 00:00:00,977017
2018-10-31 00:00:00,1790335
2018-11-01 00:00:00,1459806
2018-11-02 00:00:00,564419
2018-11-03 00:00:00,16435
2018-11-05 00:00:00,1009509
2018-11-06 00:00:00,1263186
2018-11-07 00:00:00,1135089
2018-11-08 00:00:00,1147964
2018-11-09 00:00:00,1410915
2018-11-10 00:00:00,2938
2018-11-12 00:00:00,1236373
2018-11-13 00:00:00,1309767
2018-11-14 00:00:00,835574
2018-11-15 00:00:00,914507
2018-11-16 00:00:00,1001491
2018-11-17 00:00:00,8568
2018-11-19 00:00:00,494360
2018-11-20 00:00:00,1517332
2018-11-21 00:00:00,1396473
2018-11-22 00:00:00,1483081
2018-11-23 00:00:00,1311180
2018-11-24 00:00:00,16093
2018-11-25 00:00:00,3482
2018-11-26 00:00:00,1385456
2018-11-27 00:00:00,1352008
2018-11-28 00:00:00,1241052
2018-11-29 00:00:00,1441544
2018-11-30 00:00:00,2047173
2018-12-01 00:00:00,14486
2018-12-03 00:00:00,1547525
2018-12-04 00:00:00,1277581
2018-12-05 00:00:00,1002035
2018-12-06 00:00:00,1145894
2018-12-07 00:00:00,1414543
2018-12-08 00:00:00,7235
2018-12-09 00:00:00,739
2018-12-10 00:00:00,1371739
2018-12-11 00:00:00,1207060
2018-12-12 00:00:00,1793374
2018-12-13 00:00:00,1857593
2018-12-14 00:00:00,1955476
2018-12-15 00:00:00,12728
2018-12-17 00:00:00,1128278
2018-12-18 00:00:00,1823684
2018-12-19 00:00:00,1270607
2018-12-20 00:00:00,2073735
2018-12-21 00:00:00,1386019
2018-12-22 00:00:00,101
2018-12-23 00:00:00,377
2018-12-24 00:00:00,563856
2018-12-26 00:00:00,1165015
2018-12-27 00:00:00,1205463
2018-12-28 00:00:00,790554
2018-12-29 00:00:00,578
2018-12-30 00:00:00,-3653
2018-12-31 00:00:00,1511939
2019-01-01 00:00:00,33506
2019-01-02 00:00:00,1486468
2019-01-03 00:00:00,1718503
2019-01-04 00:00:00,926946
2019-01-05 00:00:00,-6107
2019-01-07 00:00:00,1141134
2019-01-08 00:00:00,1273895
2019-01-09 00:00:00,1236861
2019-01-10 00:00:00,1457537
2019-01-11 00:00:00,1023878
2019-01-12 00:00:00,9881
2019-01-14 00:00:00,998076
2019-01-15 00:00:00,1528772
2019-01-16 00:00:00,1651289
2019-01-17 00:00:00,1239241
2019-01-18 00:00:00,1137205
2019-01-19 00:00:00,2965
2019-01-21 00:00:00,1458975
2019-01-22 00:00:00,1063132
2019-01-23 00:00:00,1325388
2019-01-24 00:00:00,1648756
2019-01-25 00:00:00,1560554
2019-01-26 00:00:00,19557
2019-01-28 00:00:00,1244650
2019-01-29 00:00:00,824895
2019-01-30 00:00:00,1496649
2019-01-31 00:00:00,5907429
2019-02-01 00:00:00,676064
2019-02-02 00:00:00,855
2019-02-04 00:00:00,645929
2019-02-05 00:00:00,1354404
2019-02-06 00:00:00,1326254
2019-02-07 00:00:00,956263
2019-02-08 00:00:00,991970
2019-02-09 00:00:00,71652
2019-02-11 00:00:00,1063805
2019-02-12 00:00:00,1081905
2019-02-13 00:00:00,1118567
2019-02-14 00:00:00,990158
2019-02-15 00:00:00,1194096
2019-02-16 00:00:00,182566
2019-02-18 00:00:00,1165908
2019-02-19 00:00:00,1347313
2019-02-20 00:00:00,1631874
2019-02-21 00:00:00,1345692
2019-02-22 00:00:00,2234819
2019-02-23 00:00:00,4533
2019-02-25 00:00:00,1456544
2019-02-26 00:00:00,1867029
2019-02-27 00:00:00,1220557
2019-02-28 00:00:00,3488611
2019-03-01 00:00:00,1300602
2019-03-02 00:00:00,1265
2019-03-04 00:00:00,852252
2019-03-05 00:00:00,862642
2019-03-06 00:00:00,1087085
2019-03-07 00:00:00,975987
2019-03-08 00:00:00,1156327
2019-03-09 00:00:00,1686
2019-03-11 00:00:00,1352207
2019-03-12 00:00:00,1434988
2019-03-13 00:00:00,851541
2019-03-14 00:00:00,1112562
2019-03-15 00:00:00,1223784
2019-03-16 00:00:00,4010
2019-03-18 00:00:00,625947
2019-03-19 00:00:00,1085242
2019-03-20 00:00:00,1157946
2019-03-21 00:00:00,1229574
2019-03-22 00:00:00,1999418
2019-03-23 00:00:00,28494
2019-03-25 00:00:00,1201689
2019-03-26 00:00:00,926881
2019-03-27 00:00:00,1476665
2019-03-28 00:00:00,1348988
2019-03-29 00:00:00,2580265
2019-03-30 00:00:00,33654
2019-03-31 00:00:00,709488
2019-04-01 00:00:00,1317664
2019-04-02 00:00:00,1049476
2019-04-03 00:00:00,1213207
2019-04-04 00:00:00,1185809
2019-04-05 00:00:00,918746
2019-04-06 00:00:00,2598
2019-04-08 00:00:00,920251
2019-04-09 00:00:00,956344
2019-04-10 00:00:00,1007376
2019-04-11 00:00:00,1037393
2019-04-12 00:00:00,816372
2019-04-13 00:00:00,90612
2019-04-15 00:00:00,990727
2019-04-16 00:00:00,1055426
2019-04-17 00:00:00,801042
2019-04-18 00:00:00,458418
2019-04-19 00:00:00,12327
2019-04-22 00:00:00,897717
2019-04-23 00:00:00,1205524
2019-04-24 00:00:00,1555804
2019-04-25 00:00:00,783316
2019-04-26 00:00:00,1360194
2019-04-27 00:00:00,4148
2019-04-29 00:00:00,1372074
2019-04-30 00:00:00,2568055
2019-05-01 00:00:00,32013
2019-05-02 00:00:00,1320947
2019-05-03 00:00:00,1385664
2019-05-04 00:00:00,7304
2019-05-06 00:00:00,1326132
2019-05-07 00:00:00,1010584
2019-05-08 00:00:00,1071878
2019-05-09 00:00:00,1024506
2019-05-10 00:00:00,711455
2019-05-11 00:00:00,18777
2019-05-13 00:00:00,1192398
2019-05-14 00:00:00,1154252
2019-05-15 00:00:00,1065941
2019-05-16 00:00:00,1228501
2019-05-17 00:00:00,876668
2019-05-18 00:00:00,26450
2019-05-20 00:00:00,1142631
2019-05-21 00:00:00,1032334
2019-05-22 00:00:00,984956
2019-05-23 00:00:00,867728
2019-05-24 00:00:00,1015433
2019-05-25 00:00:00,-4897
2019-05-26 00:00:00,-10
2019-05-27 00:00:00,1527522
2019-05-28 00:00:00,1189551
2019-05-29 00:00:00,1147864
2019-05-30 00:00:00,1436708
2019-05-31 00:00:00,3260846
2019-06-01 00:00:00,18070
